电影名,电影id,年代,时光评分,评论人数,导演,编剧,类型,国家地区,发行公司,片长,上映日期,剧情介绍,主演
"永安镇故事集

(
2023
)",270648,2023,0,42人评分,魏书钧,魏书钧康春雷,中国,中国,之江影业传媒（浙江）有限公司人间指南（上海）影视发行有限公司,,9月8日2023年,影片叙述了一个剧组入住拍摄地，给这个原本宁静的小镇带来一丝波澜，然而波澜过后，一切又重归宁静的故事。影片分为三个章节——独自等待、看上去很美、冥王星时刻，小镇和剧组串联起三个章节的故事和其中的人物——与小镇格格不入的饭店老板娘、回不去故乡的女明星、陷入创作分歧的导演与编剧……因为剧组的到来，每一个置身这座小镇的人心中都荡起一丝涟漪，但涟漪终会散去，一切也终将重归平静。,"杨子姗ZishanYang
黄米依MiyiHuang
刘洋Damon
康春雷ChunleiKang"
"小美人鱼之大海怪传说

(
2023
)",271951,2023,0,0人评分,,,动画/奇幻/家庭,中国,,80分钟,9月29日2023年,当神秘小美人鱼遇上了传说中的大海怪，深藏在海洋深处的秘密也由此揭开，一场充满惊险刺激的海洋冒险之旅即将开启……,
"热烈

(
2022
)",272254,2022,7.8,219人评分,大鹏,大鹏苏彪,剧情/喜剧,中国,,124分钟,7月28日2023年,街舞老炮儿丁雷（黄渤饰），偶遇卖艺少年陈烁（王一博饰），丁雷忽悠陈烁加入自己经营的舞团。舞团内高手如云，性格各异，与陈烁碰撞出不同的火花，笑料不断。陈烁热烈追梦，期待着上场的机会，却发现丁雷邀请他其实另有目的，而丁雷和陈烁，也都将面对接二连三的沉重打击，他们能否逆风翻盘，回击人生难题？,"王一博YiboWang
饰?陈烁

黄渤BoHuang
饰?丁雷

岳云鹏YunpengYue
饰?陈烁舅舅

刘敏涛MintaoLiu
饰?陈烁妈妈"
"红色恋人

(
1998
)",10816,1998,7.4,450人评分,叶大鹰,江奇涛AndeeNathanson,爱情/剧情,中国,WorldtradeEntertainment,98分钟,9月12日2023年,三十年代的上海，美国人佩恩偶然结识了秋秋与靳，并对秋秋一见钟情。靳是上海地下党的高层领导人，因在一次战争受重伤，导致脑内残留有弹片，造成他患有严重的间歇性狂燥病症，容易产生幻觉。秋秋被靳的勇敢、智慧与风采所折服，深深爱上了靳。靳在幻觉症病发时错把秋秋看作了自己的前妻。清醒的秋秋被靳那浪漫、坚贞的爱情所震撼，决心要为得到靳的真实爱情付出一切。秋秋中了亲生父亲设下的圈套，不幸被捕。为保护靳，也为粉碎敌人的阴谋，秋秋亲手杀死了生父。不久，秋秋意外得知自己已怀孕，感受到秋秋一片深情的靳，深知自己的生命有限，于是用自己去交换狱中的秋秋，最终被敌人枪毙。秋秋因难产死在佩恩怀中。佩恩领养了他们的女儿明珠。上海解放后，佩恩带着明珠去瞻仰亲生父母的遗骨，明珠从父亲的骨灰中摸到了靳脑内的那块弹片。一九九零年，在中国长大的明珠赴美国帮助养父佩恩撰写回忆录，回忆录的名字为《红色恋人》。,"张国荣LeslieCheung
梅婷TingMei
陶泽如ZeruTao
ToddBabcock"
"GT赛车：极速狂飙

(
2023
)",273470,2023,0,40人评分,尼尔·布洛姆坎普,杰森·霍尔扎克·贝林埃里希·霍贝尔,动作/剧情/冒险,美国,哥伦比亚影业公司,135分钟,9月1日2023年,影片讲述了一个从游戏少年到职业车手的真实励志故事。游戏《GT赛车》官方设立了一所GT学院，旨在从全球范围内寻找天才车手，帮助玩家追逐职业赛车手的梦想。少年詹恩·马登伯勒凭借他的赛车模拟游戏技术，从候选者中脱颖而出，最终超越自我，从拿着游戏手柄的少年热血成长为真正的职业赛车手，驰骋在世界顶尖赛道上。,"大卫·哈伯DavidHarbour
奥兰多·布鲁姆OrlandoBloom
ArchieMadekwe
DarrenBarnet"
"茶啊二中

(
2023
)",274319,2023,7.4,134人评分,夏铭泽,夏铭泽阎凯,动画/奇幻/喜剧,中国,,91分钟,7月14日2023年,初三三班最调皮的“学渣”王强和“暴躁班主任”石妙娜意外互换了身体，压迫已久的王强过了一把当班主任的瘾，石妙娜也体会到了做“学渣”的滋味！石妙娜的公开课比赛日期临近，二人急需找到换回身体的方法，却遇到重重阻碍……,"邢原源YuanyuanXing
王博文BowenWang"
"我经过风暴

(
2023
)",270490,2023,7.2,58人评分,秦海燕,秦海燕,家庭/剧情,中国,北京光线影业有限公司中国电影股份有限公司北京电影发行分公司,101分钟,8月17日2023年,我国第一部家暴题材电影，影片取材自上百起真实家暴案件。看似事业有成、儿女双全的徐敏（佟丽娅饰）却有着难以启齿的秘密：她被丈夫陈均（吴昱翰饰）长期家暴。徐敏不是所有人想象中受害者的模样，她坚毅勇敢且有自己的事业，在与律师李小萌（王影璐饰）艰难抗争试图离婚的过程中，面对小心谨慎不留证据的丈夫、周遭人冷言冷语嘲讽质疑、社会系统的不作为、为了两个孩子…当离婚不是家暴的终点，当家不是避风港而是暴雨本身，她究竟能否冲破这场风暴？,"佟丽娅LiyaTong
吴昱翰YuhanWu
王影璐WangYinglu
艾丽娅Ailiya"
"火山挚恋

(
2022
)",272736,2022,8.4,90人评分,SaraDosa,ShaneBorisErinCasperSaraDosa,中国,加拿大,NeonAnticipatePicturesMadmanEntertainmentPty.Ltd.,98分钟,8月18日2023年,Katia和MauriceKrafft除了彼此相爱之外，还深深迷恋着火山。二十年来，这对热爱冒险的法国夫妇纵情于与自然之间惊险、刺激的“三角恋”。两人追随全球的火山喷发和余波，用惊艳的摄影和震撼人心的影像记录他们的发现，并通过媒体和巡回演讲与好奇的观众们分享自身经历。最终，Katia和Maurice于1991年日本云仙(Unzen)的一次火山爆发中丧命，但他们给世人留下了关于自然的丰富知识和遗产。这部隽意满满、充满视觉震撼的作品荣获2022圣丹斯电影节美国纪录片竞赛单元最佳剪辑奖，同时亦被选为2022瑞士真实影展开幕片。,"米兰达·裘莱MirandaJuly
卡提亚·克拉夫特KatiaKrafft
莫里斯·克拉夫特MauriceKrafft
Anne-LaureBalbir"
"三贵情史

(
2023
)",269827,2023,0,12人评分,刘斯逸,刘斯逸,爱情/奇幻/剧情,中国,华夏电影发行有限责任公司天津猫眼微影文化传媒有限公司,108分钟,9月9日2023年,电影讲述了因天神们的一个赌约，人间男孩王三贵身上有了一个古怪的诅咒：凡他亲吻之物，即刻陷入熟睡。为了打破诅咒，三贵踏上了寻找真爱的浪漫奇幻之旅的故事。,"胡先煦XianxuHu
姚晨ChenYao
周也YeZhou
周依然YiranZhou"
"江米儿

(
2023
)",274911,2023,0,2人评分,,,剧情,中国,,98分钟,9月19日2023年,今年10岁牧区生活的小多杰，在一次赛马节上，小多杰被大人们赛马奔驰的场景深深吸引，于是梦想拥有一匹属于自己的小马。为了凑够1500元买小马驹的钱，小多杰开始了艰辛的圆梦之旅。,
"芭比

(
2023
)",227245,2023,7.7,357人评分,格蕾塔·葛韦格,诺亚·鲍姆巴赫格蕾塔·葛韦格,爱情/动作/奇幻,加拿大,WarnerBros.GmbH华纳兄弟公司华纳兄弟公司,114分钟,7月21日2023年,生活在芭比乐园，就是在一个完美的地方做一个完美的人。除非你真的有生存危机，或者你叫肯。,"玛格特·罗比MargotRobbie
瑞恩·高斯林RyanGosling
刘思慕SimuLiu
亚美莉卡·费雷拉AmericaFerrera"
"厨神驾到

(
2023
)",273811,2023,0,1人评分,李克龙,,中国,中国,,,3月25日2023年,,"孙涛TaoSun
韩云云Yun-yunHan
克拉拉ClaraLee
张海燕HaiyanZhang"
"念念相忘

(
2023
)",271225,2023,0,12人评分,刘雨霖,范文文胡舒欣,爱情/青春,中国,,103分钟,8月22日2023年,你是否也有一个念念不忘的人？2023七夕，想念不如相见。转校生许念念与少年杨燚因误会结下梁子，水火不容的两人展开一系列比拼，本以为是好胜心作祟，却在不知不觉中萌发了情愫。飒爽的少女与中二的少年，就这样一起度过了热血又难忘的高中时光，最后却遗憾地擦身而过……当念念不忘的两人再次相见，他们能否勇敢一场，排除万难直面内心的喜欢？,"刘浩存HaocunLiu
宋威龙SongWeilong
卜冠今GuanjinBu
郭丞ChengGuo"
"嗨！神兽

(
2020
)",271495,2020,0,1人评分,池家庆,池家庆,动画/剧情,中国台湾,,88分钟,9月16日2023年,每个夜晚“它”都会偷偷走进村子吃掉大家的噩梦……“在森林深处住着一只一身体长得像猪，鼻子像大象，耳朵像马，脚像犀牛的神兽。每个夜里，当人们都睡着时，它就会偷偷走进村子吃掉大家的噩梦！”渔村小孩阿吉的父亲从小就跟阿吉叙述他小时候在森林遇到神兽的故事，阿吉对父亲所说的话总是深信不疑，期待有一天可以亲眼看见这只父亲看过的神兽。有一天，与阿吉相依为命的父亲因海难身亡，8岁的阿吉想找出传说中能吃掉噩梦的神兽，帮他吃掉爸爸去世的这场噩梦。,"杨采妮CharlieYeung
白润音Run-yinBai
Mu-yiChen
李李仁LirenLi"
"消失的她

(
2022
)",273294,2022,6.8,590人评分,崔睿,陈思诚顾舒怡殷一雄,中国,中国,,,6月22日2023年,何非的妻子李木子在结婚周年旅行中离奇消失，在何非苦寻无果之时妻子再次现身，何非却坚持眼前的陌生女人并非妻子，妻子拿出了身份证明进行自证，夫妻二人似乎都有不可告人的秘密，随着金牌律师陈麦介入到这起离奇案件中，更多的谜团慢慢浮现……本片改编自苏联电影《Lovushkadlyaodinokogomuzhchiny》。,"朱一龙YilongZhu
倪妮NiNi
文咏珊JaniceMan
杜江JiangDu"
"疯狂大营救

(
2021
)",274913,2021,0,0人评分,,,动画,法国,,89分钟,9月29日2023年,调皮的皮尔和三只有趣的宠物在城堡里过着飞檐走壁、无忧无虑的快乐生活。一次偶然的机会，皮尔发现了摄政王想要陷害王子的阴谋，但因为她的宠物误触了魔法机器，王子被戏剧性地变成了一只奇怪的“鸡猫”，一片混乱中，皮尔和她的神奇搭档们躲过了摄政王的追捕，踏上了寻找解药来解除王子身上的魔法的旅程，他们一路上遇到了各种挑战，不仅要穿越可怕的诅咒森林，还要与呆萌的独角兽上演空前的决战……经历过笑料百出、令人捧腹的欢乐冒险之后，他们能否成功地营救王子、重新为城堡带来欢乐幸福的生活呢？,"PaulBorne
JulienCrampon
PierreTessier
GauthierBattoue"
"流水落花

(
2022
)",273624,2022,0,28人评分,贾胜枫,贾胜枫,剧情,中国香港,,95分钟,9月15日2023年,多年前失去了亲儿的母亲，申请成为寄养家庭，想借此找回做母亲的感觉。,"郑秀文SammiCheng
AlanChun-KwongLuk
谈善言HedwigTam"
"奇迹少女

(
2023
)",274708,2023,0,10人评分,杰里米·扎格,杰里米·扎格,爱情/动画/动作,法国,,105分钟,8月18日2023年,故事讲述怯懦又富有正义感的少女马丽娜获得“米可幻奇”的力量成为新手英雄“奇迹少女”，并在抗击罪恶中结识另外一位英雄“黑猫罗尔”。两人并肩作战一起共同成长并守护世界和平……,"BenjaminBollen
AntoineTomé
MarieChevalot
ThierryKazazian"
"超级飞侠：乐迪加速

(
2023
)",274372,2023,0,6人评分,冯操,刘珮如杜鹏,动画/科幻/喜剧,中国,,89分钟,7月8日2023年,超级飞侠乐迪接到一项新任务！一个神秘的包裹，一次跨越大洲的派送，乐迪却因此偶然介入了一场将世界陷于危机的恶作剧中。面对危机，乐迪和其他超级飞侠将发挥各自的救援能力，争分夺秒合力拯救世界！,
"毒蜂

(
2023
)",274791,2023,0,2人评分,潘文杰,朱昭宾,中国,中国,,,9月15日2023年,影片主要讲述了随着新型毒品“蜜蜂”的研制者“毒蜂”被执行死刑，由富大龙饰演的主人公段成也随即越狱，并对外宣称自己就是唯一知道“蜜蜂”配方的人。此后，他成功潜入“毒”巢，在与敌斗智斗勇的过程中寻找着隐藏在暗中的“蜂王”，而多方势力也闻风而动，一场殊死较量就此展开……,"富大龙DalongFu
许亚军YajunXu
王斑BanWang
高梓淇Jiame"
"潜艇总动员：环游地球80天

(
2023
)",274622,2023,0,1人评分,,,中国,中国,,,7月29日2023年,,
"小黄人大眼萌：神偷奶爸前传

(
2022
)",240382,2022,7,379人评分,凯尔·巴尔达,辛科·保罗布莱恩·林奇马修·福格尔,动画/家庭/科幻,美国,环球影业东宝东和UnitedInternationalPictures(UIP),90分钟,8月19日2022年,这部新片将是2015年推出的小黄人独立电影《小黄人大眼萌》的直接续集。它作为《神偷奶爸》的衍生作品，讲述了小黄人们在“前格鲁”时代为其他主人服务的经历，不过少年格鲁曾经出现在这部衍生电影里，续集将围绕他与小黄人们结缘的过程展开剧情。,"皮埃尔·柯芬PierreCoffin
史蒂夫·卡瑞尔SteveCarell
塔拉吉·P·汉森TarajiP.Henson
尚格·云顿Jean-ClaudeVanDamme"
"青木劫

(
2023
)",274169,2023,0,0人评分,,,惊悚/恐怖,中国,,86分钟,9月9日2023年,影片改编自民国真实恐怖传闻，讲述了民国初年富甲一方的淮镇盐商康氏惨遭灭门，家中幼女亲眼目睹全家被杀后竟离奇失踪。几十年间，废弃康宅鬼泣哀怨，整个青木巷充斥着灵异惊悚的气息，军官宋绍堂（葛浩饰）、教师紫桐（赵帅饰）、私生子程佑安（曹高波饰）、大亨郑洪斌（张振才饰）等人对于康门案各怀心事，有人复仇、有人死于非命，灭门惨案背后的真相逐渐浮出水面。,
"意外人生

(
2023
)",269320,2023,0,6人评分,左志国,,爱情/悬疑/犯罪,中国,,90分钟,9月1日2023年,身在澳门的潘义铭(吴镇宇饰)意外收到一份30年未见面的父亲的遗嘱，父亲留给他一笔巨额遗产，要求潘义铭参加葬礼才能继承。他遵守遗嘱回到了出生的中国南方小城。在这里，有他曾经的恋人林悦(任素汐饰)、表面老实巴交的情敌华琪(李康生饰)、素未谋面的女儿木子(乌兰托雅饰)，以及一些残留的记忆和错综交织的秘密与阴谋。,"吴镇宇FrancisNg
任素汐SuxiRen
李康生KangshengLi
乌兰托雅·朵AudyreyDuo"
